"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"   71P/Clark",3.139,0.4945,9.44,59.44,208.97,1.587,4.69,5.56,2842,1,1360,,,,1.36,,,,,,,,,
"   72P/Denning-Fujikawa",4.347,0.8205,9.23,35.44,338.47,0.781,7.91,9.06,16324,1,66,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3",3.093,0.6857,11.23,69.64,199.45,0.972,5.21,5.44,2740,0,515,,,,,,,,,,,,,
"   74P/Smirnova-Chernykh",4.165,0.1478,6.65,77.08,86.56,3.549,4.78,8.5,10394,0,6016,,,,4.46,,,,,,,,,
"   75D/Kohoutek",3.543,0.4963,5.91,269.69,175.80,1.785,5.30,6.67,4784,,81,,,,4.6,,,,,,,,,
"   76P/West-Kohoutek-Ikemura",3.471,0.5384,30.48,84.11,0.05,1.602,5.34,6.47,9743,0,1158,,,,0.66,,,,,,,,,
"   77P/Longmore",3.613,0.3542,24.34,14.89,196.95,2.333,4.89,6.87,18332,0,2629,,,,8.2,,,,,,,,,
"   78P/Gehrels 2",3.737,0.4612,6.25,210.56,192.73,2.014,5.46,7.23,5353,0,6051,,,,,,,,,,,,,
"   79P/du Toit-Hartley",3.031,0.5941,2.89,307.84,253.27,1.231,4.83,5.28,9595,1,215,,,,2.8,,,,,,,,,
"   80P/Peters-Hartley",4.023,0.5994,29.93,259.84,339.17,1.612,6.44,8.07,15016,0,179,,,,,,,,,,,,,
"   81P/Wild 2",3.45,0.5374,3.24,136.11,41.73,1.596,5.30,6.41,3613,0,2795,,,,4.0,,,,,,,,,
"   82P/Gehrels 3",4.135,0.1233,1.13,239.59,227.50,3.626,4.65,8.41,16277,0,143,,,,1.46,,,,,,,,,
"   83D/Russell 1",3.338,0.5172,22.66,230.84,0.38,1.612,5.06,6.1,2302,1,20,,,,,,,,,,,,,
"   84P/Giclas",3.641,0.4945,7.28,112.39,276.40,1.840,5.44,6.95,15537,0,1745,,,,1.80,,,,,,,,,
"   85D/Boethin",5.185,0.7812,4.30,359.40,37.62,1.135,9.24,11.8,4042,8,51,,,,,,,,,,,,,
"   86P/Wild 3",3.605,0.3722,15.47,72.39,179.19,2.264,4.95,6.85,5193,1,32,,,,0.86,,,,,,,,,
"   87P/Bus",3.441,0.3893,2.60,181.89,24.76,2.101,4.78,6.38,7602,1,667,,,,0.56,,,,,,,,,
"   88P/Howell",3.106,0.5641,4.38,56.69,235.88,1.354,4.86,5.47,4164,0,3010,,,,4.4,,,,,,,,,
"   89P/Russell 2",3.753,0.4084,12.08,41.44,250.18,2.220,5.29,7.27,16216,0,648,,,,2.8,,,,,,,,,
"   90P/Gehrels 1",6.069,0.5098,9.64,13.25,29.27,2.975,9.16,15,6092,2,577,,,,7.8,,,,,,,,,
"   91P/Russell 3",3.89,0.3302,14.09,247.90,354.87,2.606,5.18,7.67,9051,0,337,,,,,,,,,,,,,
